Username,Created_at,ID,Text,RetweetCount,Name,Location,URL,Description,TweetCount,FollowersCount,FriendsCount,Hashtags,mentions
Tokknemo,2017-03-03 01:37:50,837477081122553856,RT @The_Glitterman: Just cant stop with pics of my cats.. #Sorrynotsorry #CatsOfTwitter #cat https://t.co/OgwvIzDBdz,48,Justin,"Campbell, California, USA",https://t.co/Z07ODKf5u0,,2638,24,535,"Sorrynotsorry,CatsOfTwitter,cat",The_Glitterman
Cronistalibros,2017-03-03 01:37:39,837477033504620544,@No_Its_Isis @IsaCantos Yo leo los libros ajenos #Sorrynotsorry Un poquito para ver de qué es 🙈😂,0,Cronista de libros,Uruguay,https://t.co/LooFzYow6l,"Estudiante de diseño gráfico. Booktuber. Bookaholic. Gryffindor de la casa Stark. Edena Ruh, pero de verdad. 📩contactocdl.uy@gmail.com",4036,266,98,Sorrynotsorry,"No_Its_Isis,IsaCantos"
agentbubbles_,2017-03-03 01:37:26,837476979209195521,Wala namang bago dun sa Green Light. Typical Lorde. She's like a catchy Lana Del Rey tbh. Hate them both. #sorrynotsorry,0,A Girl is Ara Stark,mythical world of mermaids,None,I'm pretty sure I'm a mermaid.,7279,238,400,sorrynotsorry,
DylanMGregoire,2017-03-03 01:37:12,837476923089506304,"I'm trying to change, and if I hurt a few people doing so... #sorrynotsorry",0,🤘🏻Pøšt Gręgš ⤵️,Sunny LA ☀️,None,Hannah in the streets. Miley in the sheets. #FlyEaglesFly #SBSB🤘🏻⤵️ #TeamUgly,28072,992,474,sorrynotsorry,
rCystalClearHI,2017-03-03 01:36:36,837476772409184256,RT @The_Glitterman: Just cant stop with pics of my cats.. #Sorrynotsorry #CatsOfTwitter #cat https://t.co/OgwvIzDBdz,48,Crystal Clear,"Jacksonville, Florida",http://t.co/jdYEy8Lcon,Hawaii-based  company helping clients create and implement communications strategies that  are crystal clear.,1495,29,633,"Sorrynotsorry,CatsOfTwitter,cat",The_Glitterman
angmsorensen,2017-03-03 01:35:56,837476602288214016,yeah if i find out who hit my car im cutting off his genitals #sorrynotsorry https://t.co/KLVCTh7JV1,0,Angelina Sorensen,MHS,https://t.co/R6p2DFj1Xy,I Am The Walrus,18534,481,480,sorrynotsorry,
joycemaarie,2017-03-03 01:35:52,837476585875914756,Como si tener un hombre a su lado fuese tan necesario como respirar #sorrynotsorry https://t.co/ZQtURABaAf,0,Joycé,Puerto Rico,None,,29025,319,228,sorrynotsorry,
taohsr,2017-03-03 01:34:11,837476163941502976,RT @The_Glitterman: Just cant stop with pics of my cats.. #Sorrynotsorry #CatsOfTwitter #cat https://t.co/OgwvIzDBdz,48,Sungjee,"Raleigh, North Carolina",http://t.co/z5C2WsXKty,"He has made everything beautiful in   time
(Ecclesiastes 3:11)",578,18,951,"Sorrynotsorry,CatsOfTwitter,cat",The_Glitterman
treday216,2017-03-03 01:34:03,837476128797442049,"RT @Nubianreine_: We are NOT EQUAL, I deff feel like blacks are superior to white people #SorryNotSorry",1,Geechi,Black n a white mans Territory,https://t.co/MrzrY9u0lS,|20| It aint no gun they make that can kill my soul.,6296,158,112,SorryNotSorry,Nubianreine_
brookemoore_,2017-03-03 01:33:45,837476054700797952,"when your pup is tired of selfies🤷🏼‍♀️
#sorrynotsorry https://t.co/VXvI7xoSKh",0,brookemoore,,None,"a small stream, breaking forth",4420,221,73,sorrynotsorry,
Wills_247,2017-03-03 01:33:10,837475905186459648,If my female flatmate is gonna scream the flat down and throw stuff around i am going to have to tranquillise her #SorryNotSorry,0,William Montgomery,Northern Ireland,None,"21,  Linfield Football Club, Northern Ireland. 🇬🇧 Joe Garner",19702,544,370,SorryNotSorry,
rachelsklar,2017-03-03 01:33:02,837475874677084160,I just want this interview to go on and on and on. Though Carter Page looks like he wouldn't mind Russian. #sorrynotsorry #punsbetterspoken,0,((( Rachel Sklar ))),"ÜT: 40.767922,-73.987568",https://t.co/vMCR3tP4aP,"Media addict on the loose. Feminism/Showtunes. Founder #ChangeTheRatio & @TheList. Former lawyer, lifelong Canadian, single mom. Nevertheless she persisted.",79768,59294,7794,"sorrynotsorry,punsbetterspoken",
LCT_conf,2017-03-03 01:33:01,837475868591022080,We're finalising the workshops for LCTC2. You'll have a really hard time choosing which to go to. #sorrynotsorry https://t.co/LUASzkfZRa,0,LCTC2,Sydney 3-7 July 2017,https://t.co/5T0oMYPXMu,Second International Legitimation Code Theory Conference Abstract submissions now open on website!,102,128,255,sorrynotsorry,
zcxtmrae,2017-03-03 01:32:59,837475859439083520,RT @The_Glitterman: Just cant stop with pics of my cats.. #Sorrynotsorry #CatsOfTwitter #cat https://t.co/OgwvIzDBdz,48,Zcxtream,Maine,https://t.co/1TATHJeqJG,Musician/ future,729,19,223,"Sorrynotsorry,CatsOfTwitter,cat",The_Glitterman
JCavese,2017-03-03 01:31:54,837475587585363968,@blondie32gg nope as long as I'm haunted so will the perpetrator be. #sorrynotsorry,0,Julie Cavese,"Buffalo, NY",None,"WNY Native, Cancer/Colitis/Fibro Fighter, Outdoor/Animal/Music Lover, Disability Advocate, Community Volunteer, Traveler. Dream: To see North America in an RV.",17057,3479,4999,sorrynotsorry,blondie32gg
Rshield27s,2017-03-03 01:31:53,837475583114108928,RT @The_Glitterman: Just cant stop with pics of my cats.. #Sorrynotsorry #CatsOfTwitter #cat https://t.co/OgwvIzDBdz,48,Regina,Connecticut,None,"& Founder of Free Truth Enterprise Public  Speaker, Appearance and Engagements.
BOOKING CONTACT:  RSHIELDS@FREETRUTHENTERPISE.ORG or 513-801-9159, mgr",504,21,676,"Sorrynotsorry,CatsOfTwitter,cat",The_Glitterman
JocyChandler,2017-03-03 01:31:53,837475582715838471,I'm the type of girl that wakes u up @ 12am and asks to go for a late night walk 😂 #sorrynotsorry,0,Jocelyn,Places✈,None,"Junior/
Wanna go on an adventure with me? ✌",548,82,240,sorrynotsorry,
___jcastro,2017-03-03 01:31:31,837475490495606785,@_sammmmiii @MontyFritts #sorrynotsorry,0,Jen,,None,M❣️,45781,1323,912,sorrynotsorry,"_sammmmiii,MontyFritts"
Mira_Bela_S,2017-03-03 01:31:30,837475486351691776,"@rapscallionRest Darn, if only I didn't just stuff my face with mmmm 🌮 tacos at your brother @TheMuleTacos :D… https://t.co/5IGX8Hv9Xc",0,Mira Bela S,"Hamilton, Ontario",None,"Educator, photographer, gourmand, foreign language & movie passionate, volunteer, lover of all things awesome and proud #HamOnt & ward 1 resident 🇨🇦🇷🇴🏡",794,87,878,,"rapscallionRest,TheMuleTacos"
hpilpowre,2017-03-03 01:30:42,837475288254656512,RT @The_Glitterman: Just cant stop with pics of my cats.. #Sorrynotsorry #CatsOfTwitter #cat https://t.co/OgwvIzDBdz,48,Philip Power (),New Jersey,http://t.co/z4fdC9RDGz,"-savvy Learning & Development Professional: Optimize  performance, ROI and business impact",1206,33,985,"Sorrynotsorry,CatsOfTwitter,cat",The_Glitterman
AA_ale,2017-03-03 01:30:32,837475246315814912,"Yo tan Moët, vos tan Frizzé... #SorryNotSorry 🤷🏻‍♂️",0,Alejandro A.,,None,See heaven's got a plan for you... 🤙🏻,50855,324,467,SorryNotSorry,
pcmv__,2017-03-03 01:29:58,837475102094667776,"RT @jvnme_: No me dejo de nada, ni de nadie #sorrynotsorry",15,Paula Cristina 🌙,Puerto Rico,None,sc~ pcmv1299,2913,194,447,sorrynotsorry,jvnme_
luciaconsuelo2,2017-03-03 01:29:49,837475063456804865,RT @PaulaSosa12345: Micheille le ganó a todas #sorrynotsorry,3,lucialvz,"Piura, Peru",None,"Ing.civil💓
💯% michilovers",6096,179,583,sorrynotsorry,PaulaSosa12345
KevvyGillikni,2017-03-03 01:29:42,837475034713055232,RT @The_Glitterman: Just cant stop with pics of my cats.. #Sorrynotsorry #CatsOfTwitter #cat https://t.co/OgwvIzDBdz,48,Kevin Gillikin,"New York, New York",http://t.co/raRljVttGo,Denver DJ @JamminDJs Managing Editor/Writer @ ://cover32.com  for  the @Browns. Blogger/Writer/@Broncos/@Rockies/DJ,2168,45,1193,"Sorrynotsorry,CatsOfTwitter,cat",The_Glitterman
